wavelength,intensity,intensity_err
8.53185387741788,668.6241816306601,8.670169687063483
8.53313306755625,670.1580387037627,8.719556538795077
8.534412257694617,665.9911773058833,8.735948097982915
8.535691447832985,668.8809602698501,8.346139375428969
8.536970637971354,665.8168546715561,7.890749571372351
8.538249828109722,669.7323159976881,8.10309645890884
8.53952901824809,668.939068229831,8.43454792167903
8.540808208386457,665.5463555783641,8.249770379313137
8.542087398524826,674.5124250139509,8.041918776911725
8.543366588663194,682.5891437141263,8.165883162713843
8.544645778801561,682.7926473812181,8.883149339492585
8.54592496893993,688.8819617446588,9.136944683291913
8.547204159078298,687.4836899115115,8.598594655601751
8.548483349216665,689.3740221918846,8.642204210309469
8.549762539355035,691.4786215023119,9.089267084303659
8.551041729493402,692.4683862802933,9.583639815196841
8.55232091963177,692.3325207768654,8.959661823291109
8.553600109770137,692.0819976183833,8.468039963998658
8.554879299908507,686.8494287607621,8.526006740545746
8.556158490046874,687.9573164959343,8.955684705197738
8.557437680185242,686.4537241410236,8.656914286061202
8.558716870323611,684.4061142279178,7.898378197539948
8.559996060461978,680.6711500518176,7.765923541793938
8.561275250600346,681.7748114138234,8.259216351354212
8.562554440738715,688.6794695172991,8.624522153152943
8.563833630877083,695.5687305683992,8.31561240018945
8.56511282101545,696.3169219347895,8.005309484478168
8.566392011153818,692.6612025669643,8.369926428263161
8.567671201292187,691.606284628109,9.216210500465044
8.568950391430555,695.5516232860332,9.326293322035179
8.570229581568922,691.8855852399554,8.679964941159257
8.571508771707292,692.5559792032047,8.52027146462795
8.572787961845659,696.245145836655,9.186669491437408
8.574067151984027,694.8591881576849,9.568705647849784
8.575346342122396,701.5620752451371,8.933382588871865
8.576625532260763,702.4991106305804,8.357800734354573
8.577904722399131,699.309653768734,8.333020235333512
8.579183912537498,691.5968764947385,8.787301191332643
8.580463102675868,685.7048564054528,8.628513731474081
8.581742292814235,685.7419271663744,7.815317757700978
8.583021482952603,693.6775039361447,7.737429350435862
8.584300673090972,700.6138305664062,8.231142475371243
8.58557986322934,700.5344337930485,8.81885993857941
8.586859053367707,702.9984292789381,8.679289422353133
8.588138243506075,703.771653778699,8.070146297685124
8.589417433644444,699.5098453443877,8.345158312997068
8.590696623782812,698.9988889110332,9.149373019678123
8.591975813921179,699.072001554528,9.36022874682014
8.593255004059548,705.0809400908801,8.809229143237957
8.594534194197916,708.0545367805325,8.426714424455835
8.595813384336283,703.8901504205197,8.982048077411493
8.597092574474653,710.8997628348214,9.597623176434828
8.59837176461302,704.5053113042092,8.938555217883367
8.599650954751388,701.4374950175383,8.164429072837121
8.600930144889755,702.940335020727,8.113849076885478
8.602209335028125,703.2103707449777,8.672660190469625
8.603488525166492,704.6526688556282,8.717835469200999
8.60476771530486,704.6538808394452,8.063368905944387
8.606046905443229,702.7148661710778,7.8059437817289785
8.607326095581596,701.0756113480548,8.412585253960298
8.608605285719964,698.7418125697544,8.90585226096585
8.609884475858333,699.2835718271683,8.749863678827817
8.6111636659967,701.779805086097,8.177752465433798
8.612442856135068,695.3459435287787,8.440899722633484
8.613722046273436,699.6895926339286,9.061291622489778
8.615001236411805,696.7268141143176,8.79452749271821
8.616280426550173,695.7161840322067,8.162582524190919
8.61755961668854,700.2402779715402,8.08133279916752
8.61883880682691,698.4758450255102,8.680843040248847
8.620117996965277,702.2114706234056,8.993960234827963
8.621397187103645,698.6323055345185,8.194438260091804
8.622676377242014,697.2640355947067,7.607728716484561
8.623955567380381,702.1620010064572,8.138714127386104
8.625234757518749,697.6265495455995,8.79647544476582
8.626513947657116,690.5869676239637,8.486254403927381
8.627793137795486,690.3099165935905,7.706644162532675
8.629072327933853,682.946082290338,7.670224079192
8.63035151807222,681.9861325633769,8.414668581232204
8.63163070821059,684.9954036790498,8.897402246445242
8.632909898348958,681.8917174047353,8.551878668445383
8.634189088487325,679.0862127810109,8.034877927909998
8.635468278625694,677.578940878109,8.338402328052334
8.636747468764062,681.2597108179209,9.080840194815897
8.63802665890243,680.0563715720664,9.171822391449698
8.639305849040797,677.9200701032366,8.548337721112611
8.640585039179166,681.8239173110651,8.294252907803786
8.641864229317534,683.9599285514987,8.599886660479605
8.643143419455901,682.5930997887436,8.905287816249574
8.64442260959427,675.3825608856824,8.57167537300441
8.645701799732638,676.1376342773438,7.928997565039989
8.646980989871006,672.8764623525192,7.753904630237761
8.648260180009373,667.6739987743144,8.057750324719052
8.649539370147743,662.6035181162308,8.282635060398997
8.65081856028611,659.7197327905772,8.084626442746153
8.652097750424478,661.6712347536671,7.634812076467273
8.653376940562847,663.3765981246014,7.803759809794293
8.654656130701214,658.9242005640147,8.32523382914778
8.655935320839582,653.339516153141,8.58690199777602
8.657214510977951,646.487040617028,8.420428598892812
8.658493701116319,646.703349210778,7.863796877776054
8.659772891254686,642.5896444515306,8.096486587804167
8.661052081393054,641.1915719168527,8.660626599916062
8.662331271531423,646.3790333027742,8.826133422007905
8.66361046166979,645.8142214405293,8.238788271245124
8.664889651808158,643.7522607920121,7.569532937891308
8.666168841946527,638.2239678830516,7.908433374415648
8.667448032084895,631.1249427016901,8.268626964015603
8.668727222223263,631.728983976403,8.132323081634492
8.670006412361632,626.2875129544005,7.477780816105326
8.6712856025,623.5360169702647,7.255575450836981
8.672564792638367,617.6019349390147,7.762822127410446
8.673843982776734,616.0013851243623,8.140778965206378
8.675123172915104,616.448713030134,7.996312051192638
8.676402363053471,613.1868821747449,7.70558236150029
8.677681553191839,608.4015515385842,7.860433012606408
8.678960743330208,608.4848894391741,8.320571286003347
8.680239933468576,603.7354686503508,8.518809923418626
